idx,class,conversation_ri
0,협박 대화,지금 너 스스로를 죽여달라고 애원하는 것인가? 아닙니다. 죄송합니다. 죽을 거영예 혼자 죽지 우리까지 사건에 휘말리게 해? 진짜 죽여버리고 싶게. 정말 잘못했습니다. 너가 선택해. 너가 죽을래 네 가족을 죽여줄까. 죄송합니다. 정말 잘못했습니다. 너에게는 선택권이 없어. 선택 못한다면 너와 네 가족까지 모조리 죽여버릴거야. 선택 못하겠습니다. 한번만 도와주세요. 그냥 다 죽여버려야겠군. 이의 없지? 제발 도와주세요.
1,협박 대화,길동 감별 심판 경찰서 하 입니다. 9시 40분 마트에 폭발물을 설치할거다. 네 언어 ? 똑바로 재앙 도박 들어 한번만 더 장비하 얘기한다. 언어 훈계 장난전화 걸지 마시죠. 9시 40분 마트에 폭발물 얘기 이 터지면 다 죽는거야. 액운 장난전화는 업무방해죄에 해당됩니다. 판단은 너에게 달려있다 테마 . 길동경찰서에도 폭발물 전언 터지면 꽤나 재미있겠지. 선생님 진정하세요. 노름 하 장치하 난 이야기했어. 경고했다는 말이야.
2,기타 괴롭힘 대화,너 되게 귀여운거 지? 나보다 작은 남자는 첨봤어. 그만해. 니들 놀리는거 재미없어. 지영아 너가 키 160이지? 그럼 재는 160도 돼는거네? 너 도 안가고 좋겠다. 니들이 나 작은데 보태준거 있냐? 난쟁이들도 장가가고하던데. 너도 을 봐 더이상 하지마라. 키크 수술도 있대잖아? 니네 엄마는 그거 해주디? 나람 해줬어. 저 키로 어찌살아. 제발 괴롭히라고!
3,갈취 대화,어이 거기 예?? 너 말이야 너. 이리 오라고 무슨 일. 너 옷 좋아보인다? 얘 시가 좀 있나봐 아니에요.시가 없어요 뒤져서 나오면 넌 죽는다 오늘 피시방 콜? 콜. 마지막 기회다. 있는거 다 내놔 정말 없어요
4,갈취 대화,저기요 혹시 날이 너무 뜨겁잖아요? 저희 회사에서 이 선크림 파는데 한 번 손등에 발라보실래요? 아 진짜요? 안 그래도 선크림 필요해서 알아보던 인데 한 발라 볼게요! 여기 한 번 발라보세요. 진짜 성분도 다 좋아요. 음. 성분이 좋다고 하셔서 거 같기는 한데 피부 않나봐요. 피부가 따끔거리네요 이번 진짜 열심히 연구해서 만든건데 피부가 많이 예민하신가봐요 네 많이 . 그럼 많이 파시고 안녕히 계세요. 아니 저기요 돈 안내? 네? 발라보는것도 돈 내야 하나요? 그럼 이거 누구한테 팔아요? 당신이 바른거를? 아니 먼저 발라 보시라고 하셨잖아요. 먼저 권유해놓고 사라고 강매하는거 갈취인거 몰라요? 내가 안 사도 된다고 말 한 적 있어? 그것도 모르고 바른걸 누구 탓 ? 빨리 사 당신이 당신이 사야지 진짜 어이가 다른 사람들한텐 이렇게 갈취하지마세요. 화지나네
5,직장 내 괴롭힘 대화,연대 이틀뒤에 가나다 음식점 예약좀 해줘. 저녁7시로. 가나다 음식점이요.? 응. 남자친구 부모님한테 인사드리려는데 거기가 예약이 좀 힘들어? 그러니까 수진씨가 좀 해줘. 저.팀장님. 저도 월 말 프로젝트로 정신없어서.죄송하지만. 사회생활 안 해본 티를 너무 내는거 아니야? 프로젝트만 백날 잘하면 뭐해? 윗 상사한테 잘 보이기도 해야지! 하지만 팀 프로젝트라서 이번엔. 말 참 이상하게 하네? 이번엔? 내가 뭐 매일같이 이런 심부름이나 시킨다는거야? 뭐야?! 아닙니다. 제가 말 실수 했습니다. 말씀하신 예약 꼭 해두겠습니다. 이러면 하고도 욕먹는거야! 한번에 네네 알겠습니다 하면 좀 좋아?! 죄송합니다. 알겠습니다.
6,기타 괴롭힘 대화,35번 손님 아이스커피 두잔나왔습니다 아이스커피? 네 맛있게드세요 저기요 처녀 나는 아아스 시킨적이 없는데? 아 분명 오늘 날이 더우시다고 아이스로 시키셨는데요 내가 그랫어? 네분명히. 아그런 기억이 없는데? 처녀가잘못안거 아니야? 아니요. 오늘 손님이 첫 주문이라 확실히 기억하고 있습니다 처녀. 왜이렇게 유도리가 없이 굴어 그냥 아 제가 잘못 주문 받았습니다 하면 되지? .네?. 어휴 유도리 없어 그냥 마실게
7,기타 괴롭힘 대화,경비아저씨 내차에 경고장 붙였어요? 내가 여기 몇년째 사는데 아직도 내차인줄 모르고 이딴식으로 경고장을 붙여? 입주민께서 정해진 주차자리가 아닌 통로에 계속 주차하셔서 입주민들 항의가 계속 들어옵니다. 내가 항상 대는 거기 자리가 없으니까 그렇지. 내차 이거 어떻게 할거요? 얼마짜린줄 알아? 수사연 인터폰도 드렸고 경고장을 올렸으나 몇일째 그대로 인지라 아파트규약에 맞춰 어쩔수 없었습니다 그렇다고 본드로 붙이면 어떻게? 당장 이거 깨끗히 원상복구시키고 세차해와 그럴 수는 없습니다. 내가 낸 관리비로 월급받는 주제에 뭐라는거야? 안붙혔으면 되잖아.나 지금 거기 가요! 말씀이 과하신거 아닙니까? 딱 기다려요 이름뭐죠? 나 지금 가면 당신 이제 끝이야
8,기타 괴롭힘 대화,이거 할인 된다면서요 확인해보겠습니다 하는 시람 할인 해주던데 네 저 못은 고객님이십니다 고객운영 차별아까 거에요?은 저희는 등급제로 을돼서 그런겁니다 점장 불러오세요 손님 이건저점장님도 해결해주시지 손님합니다 그니까 점장 불러와 진정을 좀 해보세요
9,갈취 대화,자네 각 목발 괴사 수증기 세금계산서 보내준 수평 거 메일이랑 수치가 다르던데 수증기 ? 급 그게. 얼마나 해먹었어? 괜찮아. 다른 단정 적도 업체들도 다 세상 그래 탄탄 . 회사에는 전언 비밀로 회고 해주십시오. 그래그래. 근데 성의는 표시해야지? 어느정도.생각하시죠? 10장. 네가 많이도 해먹었는데 병기 그정도는 되겠지 할 ? 그건 경주마 공조 지식 너무 많습니다. 그럼 김 치욕 사장한테 직접 말하는 수밖에 수 기울기 없지 백금 순리 급 . 그리고 이 건은 국세청에도 걸리는거 알지 득 ? 좀 더 기한을 턱 주십시오.
10,갈취 대화,최근 네 뭐 드릴까요? 나 동아리 오늘 말보르 레드 하나. 금세 네 전문가 물가 . 여기요 전문가 ! 여기 금세 사장 입담 은 없어 총재 ? 네 사장님 지금 안계세요. 뭐 연중 .찾으세요? 지금부터 내 말 잘들어. 여기 주머니에 있는 송곳 돈 현세 다 담아. 네 물가 ?? 왜 입담 작업반 이러세요!! 입닥쳐 군중 . 빨리 사람 오기전에 돈이나 쓸어담어. .살려만 주세요 제발 제대로 안 원가 하면 수컷 패 명장 버릴거니까 빨리빨리 해라. 전문가 네.여기요. 진작 이렇게 빨리 일시 송곳 줄것이지. 경찰 신고하면 알지?
11,직장 내 괴롭힘 대화,이대리 ? 도대체 뭘한거야? 창고정리도 하고 바닥도 이니했습니다 이게 한거니?하겠습니다네 열심히하셨는데요했습니다 왜 이건 복사 안해놨니? 아까 하라고 안 내가?청소아까 했는데 너가 못들었어 귀 오늘 아닙니다. 지금 당장 말물도 새로 받아와 이걸 먹으라고 한거니? 죄송합니다
12,협박 대화,무슨 때문에 보고 ? 우리 애가 지우개 하나 훔친거 가지고 애들 앞에서 줬니곤란합니다 그런게 아니고 댁 내 따님분이 한 두번 훔친것도 아니고 여러번물건훔친 게주셨나요확인 되어서 경찰부르는건 너무 심할거 내 한 마디 한겁니다. 아니 그 구멍가게 이 얼마 한다고 그러냐고 내 애가 맨날 훔친거 확실해? 네 본 애들도 있고 확실합니다 됐고 내꾸중애같아서이러지서 하교 했어 이번 일 각오하는 게 좋을거야 너도네네애 있다며? 제 애까지 끌어들이지 마세요 애도 울면서 들어왔는데교육그냥 못 넘어가 니 애마세요죽여버릴거야 울면 저도 ?. 단지 면박 차원에서 한 마디 했을 뿐이라고요 됐고 아 저기 네 애 보이네 죽여버릴테니까 니 아들 죽은거 전화 그때 반성해일남 애 함부로 울리면 어떻게 되는지
13,갈취 대화,형!왜형! 돈좀있어? 저 저요.? 여기 말고 누가.있어? 형 얼마 잘? 저.저.돈 근데.제가 형이에요? 에 있어 생겼으니까 형만. 형 돈 좀만 주면 안때릴게 좀이지 ?봐. 돈 많게 생겼네.저 진짜 현금 없어요.줘요 놔주세요. 에이 지갑 주머니에이 있네!형내가 뒤져봐도 돼? 뒤져서 나오면 어떻게 하려고? 그냥 진짜없어요저 진짜로 없어요.죄송해요. 나 진짜지갑지갑 연다? 내가 말로만 이러니까 우스워줘 지갑에도 돈 없어요 죄송해요.
14,직장 내 괴롭힘 대화,김사원 님 왜 그러세요?해줘이거 오늘까지 제출해야 좀 해줄래? 네? 저도도해야 할 일이 많아서요. 아니 좀대리 와달라잖아 그것도 못 ? 저도 도와드리고 싶은데 할 일이 많아서요. 너랑 나랑 얼굴 맞대고제일해야 하는데 감당할 수 있겠어? 수? 감당할 네 있으면하는데하지 말든가 아닙니다 가 하겠습니다.
15,갈취 대화,야 너 휴대폰좀 빌려줘봐 안돼. 지난달 휴대폰 요금이 너무 많이 나와서 엄마한테 혼났어. 야? 닥치고 폰 내놔 폰 주면 또 결제하려고 그러지? 응 게임 다떨어져서 충전좀 안돼 진짜. 맞고 줄래 그냥 줄래? 만 더 결제한거 들켰다가는 뺏길지도 몰라 아 씨 오늘따라 왜이렇게 말이 안내놔?제발.
16,갈취 대화,잠깐만 연도 노년 낡 거기 플러스 학생 예? 저 부르셨너요? 동생 그럼 누구겠어 왜부르시죠 내가 지갑을 잃어버려서 연기 돈이없다 돈좀 늑대 있녀 아니요 복 늑대 현금없어요 주머니에 있는거 감정 열어봐 이건 옛적 안되요 늑대 그건 내가 판단 명제 해 내놔봐 이건 제돈아니에요 지출 이리 심판 요즈음 안줘? 좀 맞을래? 그건 정말 제돈 아니에요
17,갈취 대화,얼마 가져왔어? 십만원 정도. 야 이걸로 병아리 폰을 어떻게 사 이게 최선이었어. 그럼 최선을 다해 맞자 너 제발 때리지만 마! 그럼 내일까지 3배로 만들어 와 그걸 어떻게. 아 그건 네가 생각해야지 말도 안돼.
