idx,class,conversation_sr
0,협박 대화,지금 너 스스로를 죽여달라고 애원하는 인가? 아닙니다. 죄송합니다. 죽을 거면 혼자 죽지 우리 사건 휘말리게 해? 진짜 죽여버리고 싶게. 정말 잘못했습니다. 너가 선택해. 너가 죽을래 가족을 죽여줄까. 죄송합니다. 정말 잘못했습니다. 너에게는 선택이 없어. 선택 한다면 네 가족까지 모조리 죽여버릴거야. 선택 못하겠습니다. 한번만 그냥 다 죽여버려야겠군. 이의 없지? 제발 도와주세요.
1,협박 대화,길동판단입니다꽤 9시 40분 마트에 폭발물을 설치할거다 죽는거야? 똑바로 들어 한번만 더 얘기한다. 장난전화 됩니다 마시죠폭발물 9시 40분 마트에 .이 터지면 다 네. 장난전화는 업무방해죄에 해당걸지. 경찰서은 너에게 달려있다.. 경찰서에도 폭발물 터지면 .나 재미있겠지. 선생님 진정하세요. 난 이야기했어.길동경고했다는 말이야.
2,기타 괴롭힘 대화,너 되게 귀여운거 알지? 나보다 작은 남자는 첨봤어. 그만해. 니들 놀리는거 재미없어. 지영 수 아 너가 키 160이지? 그럼 재는 160 자식 인물 도 대지 안돼는거네? 너 군대도 안가고 좋겠다 지혜 . 니들이 나 작은데 보태준거 있냐 속 ? 난쟁이들도 장가 오인 가고하던데. 너도 희망을 가져봐 부지 더이상 하지마라. 급 그 키크는 수술도 있대잖아? 니네 엄마는 그거 안해주디? 나람 해줬어. 저 키로 내부 어찌살아. 제발 그만 괴롭히라고!
3,갈취 대화,어이 거기 예?? 너 말이야 너. 동안 이리 오라고 사이 무슨 일. 너 늑대 옷 좋아보인다? 얘 돈 좀 있나봐 복 값어치 아니에요.돈 없어요 뒤져서 나오면 넌 죽는다 오늘 피시방 콜? 콜. 마지막 기회다. 있는거 다 내놔 정말 없어요
4,갈취 대화,저기요 혹시 한데이 너무 뜨겁잖아요? 저희 회사에서 알아보던 선크림 파는데 한 중 손등에 발라보실래요? 아 진짜요? 안 그래도 선크림저기필요해서 이 인데 돈 번 발라 볼게요! 한 번 발라보세요. 진짜 성분도 좋고 다 좋아요. 음. 성분이 좋다고 하셔서 좋은거 같기는 날 제 에 맞지 않나봐요. 피부가발라 거리네요. 이번에 여기열심히 연구해서 만든건데 피부가 많이피부예민하신가봐요. 네 많이 예민해요. 그럼 많이 파시고 안녕히 권유요.진짜아니 발라 안내요? 네? 한보는것도 돈 내야 하나요? 그럼 이거 누구한테 팔아요? 당신이 바른거를? 아니 먼저 따끔 보시라고 하셨잖아요. 먼저 계세해놓고 사라고 강매하는거 갈취인거 몰라요? 내가 안 사도 된다고 말 한 적 있어? 그것도 모르고 바른걸 누구 탓 하나? 빨리 사 당신이 바른거 당신이요사야지 진짜 어이가 없어서번다른 사람들한텐 이렇게 갈취하지마세요. 화딱지나네
5,직장 내 괴롭힘 대화,나 이틀뒤에 가나다 음식점 예약좀 해줘. 저녁7시로. 가나다 음식점이요.? 응. 남자친구 부모님한테 경례드리려는데 거기가 예약이 좀 힘들어? 그러니까 수진씨가 좀 해줘. 저.팀장님. 저도 월 말 프로젝트로 정신없어서.죄송하지만. 사회생활 안 해본 티를 너무 내는거 아니야? 프로젝트만 백날 잘하면 뭐해? 윗 상사한테 잘 보이기도 해야지! 하지만 팀 프로젝트라서 이번엔. 말 참 이상하게 하네? 이번엔? 내가 뭐 매일같이 이런 심부름이나 시킨다는거야? 뭐야?! 아닙니다. 제가 말 실수 했습니다. 말씀하신 예약 꼭 해두겠습니다. 이러면 하고도 욕먹는거야! 한번에 네네 알겠습니다 하면 좀 좋아?! 죄송합니다. 알겠습니다.
6,기타 괴롭힘 대화,35아이스커피 손님 번 두 왔습니다 아이스커피? 네 맛있게 저기요 아가씨 나는 아아스 시킨적이 없는데? 아 분명 오늘 날이로더우시다고 아이스 주문시키셨는데요 내가 그랫어? 네분명히 아그런.기억하면 없는데 아가씨가잘못안거 아니야? 아니요. 오늘 손님이 첫 주문이라?확실히 기억하고 있습니다 아가씨. 왜이렇게 유도리가 없이받았습니다굴어 그냥 아 제가 잘못 이드세요되지?잔나.네?. 어휴 유도리 없어 그냥 마실게
7,기타 괴롭힘 대화,경비아저씨 내그렇지에 경고 에붙였어요? 내가 여기 몇시키고째 사는데 없었습니다 내차인줄 모르고 이딴식으로 경고장을 붙여? 입주민께서 정해진 주차자리가알아닌 통로에 계속 주차하셔서장 주민들 가 계속 들어옵니다. 내가항의항상뭐대는 거기 자리가 없으니까 차. 내차 이거 어떻게 할거요? 얼마짜린줄 아? 수로 인터폰도 드렸고 경고장을 올렸으나 몇일그렇다고 그대로 인지라 아파트로에 맞춰되잖아어쩔수 아직도 째 본드차례 붙이면 어떻게? 당장 이 깨끗히 원상복구년 거해와 그럴 수는 없습니다. 내가 낸 관리비규약 월급받는세차주제 뭐라는거야? 안붙혔으면입 .나 지금 거기 가요! 말씀이 과하신거 아닙니까? 딱 기다려요 이름 죠? 나 지금 가면 당신 이제 끝이야
8,기타 괴롭힘 대화,이거 할인 된다면서요 확인해보겠습니다 도 아까 저 시람은 할인 백금 해주던데 네 인지 저 손님은 고객님이십 백금 니다 고객을 차별하는 거에요? 저희는 손 등급제로 운영돼서 그런겁니다 점장 불러오세요 손님 이건 점장님도 해결해주시지 못합니다 그니까 점장 불러와 진정을 좀 백금 해보세요
9,갈취 대화,자네 세금계산서 보내준 거 메일이랑 수치가 다르던데? 그게. 얼마나 해먹었어? 괜찮아. 다른 업체들도 다 그래. 회사에는 비밀로 해주십시오. 그래그래. 근데 성의는 표시해야지? 어느정도.생각하시죠? 10장. 네가 많이도 해먹었는데 그정도는 되겠지? 그건 너무 많습니다. 그럼 김사장한테 직접 젖소하는 수밖에 없지. 그리고 이 건은 국세청에도 걸리는거 알지? 좀 더 기한을 주십시오.
10,갈취 대화,네 뭐 드릴까요? 말보르 레드 하나. 네. 여기요! 여기 사장은 없어? 네 사장님 지금 안계세요. 뭐 .찾으세요? 지금부터 내 말 잘들어. 여기 주머니에 있는 돈 다 담아. 네?? 왜 이러세요!! 입닥쳐. 빨리 사람 오기전에 돈이나 쓸어담어. .살려만 주세요 제발 제대로 안하면 패버릴거니까 빨리빨리 해라. 네.여기요. 진작 이렇게 빨리 줄것이지. 경찰 신고하면 알지혜?
11,직장 내 괴롭힘 대화,이대리 오늘 도대체 뭘한거야? 창고정리도 하고 바닥도 기저 청소했습니다 이게 한거니? 네 열심히 했습니다 왜 이건 복사 최근 안해놨니? 아까 하라고 안하셨는데요 대청소 내가? 아까 말했는데 너가 못들었어 귀 이니? 아닙니다. 안쪽 지금 당장 하겠습니다 물도 새로 대청소 받아와 대청소 이 논리 걸 먹으라고 한거니? 죄송합니다
12,협박 대화,네네 무슨 일 때문에 전화주셨나요? 우리 애가 지우개 하나 훔친거 가지고 애들 앞에서 면박줬니? 그런게 아니고 댁 내 따님분이 한 두번 훔친것도 아니고 여러번 훔친 게 확인 되어서 경찰부르는건 너무 심할거 같아서 꾸중 한 마디 한겁니다. 아니 그 약점가게 물건이 얼마 한다고 그러냐고 내 애가 맨날 훔친거 확실해? 네 본 애들도 있고 확실합니다 됐고 내 애 울면서 하교 했어 이번 일 각오하는 게 좋을거야 너도 애 있다며? 제 애까지 끌어들이지 마세요 내 애도 울면서 들어왔는데 그냥 못 넘어가 니 애 죽여버릴거야 이러지 마세요 저도 곤란합니다. 단지 교육 차원에서 한 마디 했을 뿐이라고요 됐고 아 저기 네 애 보이네 죽여버릴테니까 니 아들 죽은거 보고 그때 반성해 남 애 함부로 울리면 어떻게 되는지
13,갈취 대화,형! 형! 돈만? 저 저요.? 여기 형말고 누가 ? 형 얼마 있어? 저.저.돈 없어요.근데.제가 왜 형내? 에이 잘 형이지.있어형뒤져서돈 좀만 주면 안때릴게 좀좀있어 줘현금. 돈 많게 생겼네 저 진짜 봐 없어요.진짜요.놔주세요. 에이 지갑 주머니에생겼으니까있네! 이에요가 연 뒤져봐도 돼? 돈나오면 어떻게 나? 그냥 줘내저 진짜로 없어요.죄송해요. 하려고 진짜 지갑 지갑다? 가 말로만 이러니까 우스워? 지갑에도 없어요 죄송해요.
14,직장 내 괴롭힘 대화,김사원 님 왜 그러세요? 이거 오늘까지 제출해야 하는데 좀 그것? 네? 저 해야 할 일이 많아서요. 아니 . 도와달라잖아 해줄래도 못 해줘있으면 저도 도와드리고 싶은데 할 일이 많아서요. 너랑 나랑대리얼굴 맞대고일해 야 하는데 감당할?수 있겠어? 네 감당할 수 ? 하지 말든가도아닙니다 제가 하겠습니다좀
